the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E61000003235E60A5F7C52C0009AFA4031674440,59a6d2e3adaf3ddcb4d21802908db525,HARLEM LIBRARY,"9",WEST 124 STREET,9 WEST 124 STREET,NEW YORK,"10027",Manhattan,"1","1053460","1017220030","110",MN11,"09","028","05","020000",PUBLIC LIBRARY,0101000020110F00008C1EEAA668665FC153EFC82DFD025341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8061906074181","-73.9433009384273","999946.519612105","232999.10081653",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000001167A0A4067D52C0AD4243F0C7664440,904cfca87fab7198a7947013f262d8d1,HARRY BELAFONTE 115TH STREET LIBRARY,"203",WEST 115 STREET,203 WEST 115 STREET,NEW YORK,"10026",Manhattan,"1","1055236","1018310026","110",MN11,"09","028","03","021800",PUBLIC LIBRARY,0101000020110F000050249C5685675FC100A07C0387025341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.802976639597","-73.953530460971","997115.208837727","231826.471596689",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000001C8BF6B6407B52C03016AD7ECF6E4440,f4c10512c0bcaa92b0cc0dbdc86896c7,INWOOD LIBRARY,"4790",BROADWAY,4790 BROADWAY,NEW YORK,"10034",Manhattan,"1","1064894","1022330013","112",MN01,"10","034","06","029100",PUBLIC LIBRARY,0101000020110F0000CECA984B82645FC167E65B698A0B5341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8657072396421","-73.9258248717928","1004766.21633752","254686.82633733",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000E207E307F27F52C042A6ED85075E4440,c871611947df1a1cbf6b138a28fefbf9,JEFFERSON MARKET LIBRARY,"425",AVENUE OF THE AMERICAS,425 AVENUE OF THE AMERICAS,NEW YORK,"10011",Manhattan,"1","1082668","1006060001","102",MN23,"03","006","02","007100",PUBLIC LIBRARY,0101000020110F0000004602DA7A6C5FC1ABE13097B6F85241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7346045885465","-73.9991473881815","984486.290197979","206912.849561307",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000306E9B4FB77E52C05E4787D4355F4440,99eafcfa9ae56ce91347db765ec24cac,KIPS BAY LIBRARY,"446",THIRD AVENUE,446 THIRD AVENUE,NEW YORK,"10016",Manhattan,"1","1018325","1008860051","106",MN20,"02","017","02","007200",PUBLIC LIBRARY,0101000020110F0000F0A8AD44646A5FC1D5E6227309FA5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7438302670041","-73.9799384134174","989809.036119476","210274.691705085",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000E202F92EE57B52C0D6E27FE9CB694440,46a410b398f63313a79b97bcd526bba9,MACOMB'S BRIDGE LIBRARY,"2650",ADAM CLAYTON POWELL JR BOULEVARD,2650 ADAM CLAYTON POWELL JR BOULEVARD,NEW YORK,"10039",Manhattan,"1","1084156","1020370011","110",MN03,"09","032","05","023600",PUBLIC LIBRARY,0101000020110F00004B7C7EA999655FC1EB50BF4FE9055341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.8265354036754","-73.9358632499457","1002000.13541956","240412.859256674",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000096F07829DD7E52C0F8CDD5A768604440,8acb7d1778963866e3e528e01be893fe,MID-MANHATTAN LIBRARY AT 42ND STREET,"476",FIFTH AVENUE,476 FIFTH AVENUE,NEW YORK,"10018",Manhattan,"1","1034194","1012570001","105",MN17,"04","014","02","008400",PUBLIC LIBRARY,0101000020110F0000C2BCE38FA46A5FC10593F36B61FB5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7531938356369","-73.9822486573269","989168.179620273","213686.002438533",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000016F88A6EBD7D52C06553AEF02E674440,4ba67e2fb923b28fdc3517de159eaf39,MORNINGSIDE HEIGHTS,"2900",BROADWAY,2900 BROADWAY,NEW YORK,"10025",Manhattan,"1","1057018","1018857501","109",MN09,"07","026","03","019900",PUBLIC LIBRARY,0101000020110F00004E18C9D2BB685FC1BDDF3395FA025341,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.80612","-73.964687","994026.031443385","232970.266598233",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000030BC92E4B97F52C0D1967329AE5C4440,d9ae3df23bb65b0c73f7dbda8e4ef440,MULBERRY STREET LIBRARY,"10",JERSEY STREET,10 JERSEY STREET,NEW YORK,"10012",Manhattan,"1","1007931","1005107501","102",MN24,"01","005","02","004300",PUBLIC LIBRARY,0101000020110F0000E4EFE27E1B6C5FC14E2A6D8733F75241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.724065","-73.995721","985436.056376767","203072.976875108",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000F21353CEBD7F52C081B41E294C5F4440,35340bf26ec2d52fdab88bd15b730c87,MUHLENBERG LIBRARY,"209",WEST 23 STREET,209 WEST 23 STREET,NEW YORK,"10011",Manhattan,"1","1014150","1007730038","104",MN13,"03","010","02","009100",PUBLIC LIBRARY,0101000020110F0000DD407624226C5FC1A3D3667B22FA5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7445117378165","-73.9959598361309","985369.512020775","210522.362518658",nypl_libraries,PUBLIC LIBRARIES
0101000020E61000009A931799808052C01B2E724F575B4440,9647e5989966e74949ccd5d18c19e951,NEW AMSTERDAM LIBRARY,"9",MURRAY STREET,9 MURRAY STREET,NEW YORK,"10007",Manhattan,"1","1001446","1001347503","101",MN24,"01","001","02","002100",PUBLIC LIBRARY,0101000020110F000095462F046D6D5FC17A2C3A57B3F55241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.713602","-74.007849","982074.066824593","199261.053909506",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000744694F6067F52C05EBA490C02634440,9d5f82b02dc74f8e230c93214ef36d22,"NEW YORK PUBLIC LIBRARY FOR THE PERFORMING ARTS, DOROTHY AND LEWIS B. CULLMAN CENTER",,,40 LINCOLN CENTER PLAZA,NEW YORK,"10023",Manhattan,"1",,"1011340025","107",MN14,"06","003","20","014900",PUBLIC LIBRARY,0101000020110F000052DACB90EB6A5FC1F87FAD894BFE5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7735","-73.9848","988460.021940517","221084.073613959",nypl_libraries,PUBLIC LIBRARIES
0101000020E610000052C496D2377F52C01CCDCA1A4D5D4440,22a29ce35bcc0120b8b22e78f5c1a72c,OTTENDORFER LIBRARY,"135",SECOND AVENUE,135 SECOND AVENUE,NEW YORK,"10003",Manhattan,"1","1079841","1004640039","103",MN22,"02","009","01","003800",PUBLIC LIBRARY,0101000020110F0000A3D4E88E3E6B5FC1A71DD1A7E5F75241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7289155473938","-73.987782141908","987636.308424233","204840.388925412",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000842C0B26FE7E52C0FFEBDCB419634440,250e9322f28f0a2c5111ba74077d718c,RIVERSIDE LIBRARY,"127",AMSTERDAM AVENUE,127 AMSTERDAM AVENUE,NEW YORK,"10023",Manhattan,"1","1077844","1011377501","107",MN14,"06","020","03","014900",PUBLIC LIBRARY,0101000020110F0000B5F5D797DC6A5FC1DC7A181266FE5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.774222","-73.984262","988608.98729744","221347.148706466",nypl_libraries,PUBLIC LIBRARIES
0101000020E6100000F64F3303D47C52C0BAF1338167614440,40cd329a9e3240c12e56d963e41bbf6a,ROOSEVELT ISLAND LIBRARY,"524",MAIN STREET,524 MAIN STREET,NEW YORK,"10044",Manhattan,"1","1084695","1013730030","108",MN31,"05","114","02","023801",PUBLIC LIBRARY,0101000020110F000024C752562F675FC12B9B57297FFC5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,"40.7609712127337","-73.9504402161691","997979.40932816","216522.93987128",nypl_libraries,PUBLIC LIBRARIES
